City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,tsetserleg,47.475,101.4542,270.76,42,87,1.11,MN,1712094773
168,hobyo,5.3505,48.5268,301.5,75,22,4.55,SO,1712094773
169,hanceville,34.0607,-86.7675,299.01,64,100,5.75,US,1712094773
170,ribeira grande,38.5167,-28.7,289.23,79,100,12.4,PT,1712094773
171,areka,7.0667,37.7,290.08,90,100,0.7,ET,1712094774
172,iskateley,67.6803,53.1512,253.16,93,5,3.58,RU,1712094774
173,san rafael,-34.6177,-68.3301,298.58,26,36,4.53,AR,1712094774
174,kurlovo,55.4325,40.4854,285.63,75,100,4.6,RU,1712094774
175,keminmaa,65.8596,24.8228,265.02,57,0,3.6,FI,1712094774
176,tolanaro,-25.0319,46.9987,296.19,83,75,2.57,MG,1712094775
177,nong khae,14.3406,100.8673,302.74,78,73,4.03,TH,1712094775
178,atar,20.5169,-13.0499,305.49,16,50,4.16,MR,1712094775
179,san antonio de pale,-1.4014,5.6325,301.92,75,75,2.15,GQ,1712094775
180,vallenar,-28.5708,-70.7581,297.16,49,0,2.54,CL,1712094776
181,kruisfontein,-34.0033,24.7314,288.09,86,56,3.73,ZA,1712094776
182,hotan,37.0997,79.9269,282.69,25,35,2.3,CN,1712094776
183,port saint john's,-31.6229,29.5448,294.85,78,100,3.23,ZA,1712094776
184,barreirinha,-2.7933,-57.07,298.43,95,100,1.58,BR,1712094777
185,kodiak,57.79,-152.4072,272.88,40,0,7.72,US,1712094596
186,nalut,30.3333,10.85,295.19,31,97,8.57,LY,1712094778
187,misratah,32.3754,15.0925,290.49,75,0,5.55,LY,1712094778
188,moyynkum,44.2914,72.9469,279.84,53,67,3.74,KZ,1712094778
189,seven pagodas,12.6264,80.1722,301.18,85,82,3.71,IN,1712094778
190,puerto lopez,4.0845,-72.956,302.04,74,100,0.87,CO,1712094779
191,baiyin,36.5583,104.2081,279.69,63,100,1.64,CN,1712094779
192,fort st. john,56.2499,-120.8529,285.09,37,75,11.32,CA,1712094680
193,mogocha,53.7333,119.7667,263.89,93,85,1.81,RU,1712094779
194,san luis de la loma,17.2706,-100.8939,302.05,63,59,5.83,MX,1712094780
195,fale old settlement,-9.3852,-171.2468,302.45,73,70,1.56,TK,1712094780
196,karsun,54.1994,46.9827,282.66,76,75,4.98,RU,1712094780
197,cimislia,46.52,28.7842,285.23,55,4,4.05,MD,1712094780
198,markovo,57.3206,107.0881,257.03,99,66,1.4,RU,1712094781
199,talnakh,69.4865,88.3972,260.24,80,100,4.23,RU,1712094781
200,can giuoc,10.6167,106.6667,301.17,80,83,2.31,VN,1712094781
201,taytay,14.5678,121.1394,300.39,78,20,2.06,PH,1712094781
